            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Use,End Use of Energy Products,Coal by-products,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1
Use,End Use of Energy Products,LNG,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,End Use of Energy Products,Diesel,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,9,9,9,10,10,10,11,12,12,13,13,12,13,16,14,17
Use,End Use of Energy Products,Other refined fuels and products,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,1,1,1,3,2,2,2,2,2,3
Use,End Use of Energy Products,LPG,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Biofuels,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,6,7,7,7,7,7,7,7,7,7,8,9,13,13,13,14
Use,End Use of Energy Products,Hydro energy,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,Construction,E,Construction Total,,PJ,2,2,2,2,2,2,2,2,2,2,2,2,3,-,-,-
Use,End Use of Energy Products,LNG,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,Construction,E,Construction Total,,PJ,17,18,18,17,18,18,17,18,18,17,22,21,14,20,19,18
Use,End Use of Energy Products,Diesel,Construction,E,Construction Total,,PJ,53,55,58,58,59,62,63,64,68,72,78,83,96,98,104,109
Use,End Use of Energy Products,Other refined fuels and products,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,Construction,E,Construction Total,,PJ,3,3,2,3,3,3,3,2,3,3,3,2,2,2,2,2
Use,End Use of Energy Products,Biofuels,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,Construction,E,Construction Total,,PJ,4,4,4,4,5,5,5,5,5,5,5,6,6,6,7,7
Use,End Use of Energy Products,Hydro energy,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,Wholesale trade,F,Wholesale trade Total,,PJ,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5
Use,End Use of Energy Products,LNG,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,Wholesale trade,F,Wholesale trade Total,,PJ,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4
Use,End Use of Energy Products,Diesel,Wholesale trade,F,Wholesale trade Total,,PJ,4,4,5,5,5,5,5,5,6,6,7,7,8,8,9,9
Use,End Use of Energy Products,Other refined fuels and products,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,Wholesale trade,F,Wholesale trade Total,,PJ,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
Use,End Use of Energy Products,Biofuels,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,Wholesale trade,F,Wholesale trade Total,,PJ,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10
Use,End Use of Energy Products,Hydro energy,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,Retail trade,G,Retail trade Total,,PJ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
Use,End Use of Energy Products,LNG,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,Retail trade,G,Retail trade Total,,PJ,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
Use,End Use of Energy Products,Diesel,Retail trade,G,Retail trade Total,,PJ,3,3,3,3,3,4,4,4,4,4,5,5,4,4,4,4
Use,End Use of Energy Products,Other refined fuels and products,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Biofuels,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,Retail trade,G,Retail trade Total,,PJ,25,26,25,25,27,27,27,27,28,27,29,30,30,31,32,31
Use,End Use of Energy Products,Hydro energy,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,Retail trade,G,Retail trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,Accommodation and food services,H,Accommodation and food services Total,,PJ,10,10,10,10,10,10,10,10,10,10,11,11,18,18,20,21
Use,End Use of Energy Products,LNG,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,Accommodation and food services,H,Accommodation and food services Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,End Use of Energy Products,Diesel,Accommodation and food services,H,Accommodation and food services Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,End Use of Energy Products,Other refined fuels and products,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,Accommodation and food services,H,Accommodation and food services Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Use,End Use of Energy Products,Biofuels,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,Accommodation and food services,H,Accommodation and food services Total,,PJ,15,15,15,15,16,16,16,16,17,16,18,18,22,23,23,23
Use,End Use of Energy Products,Hydro energy,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,Accommodation and food services,H,Accommodation and food services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,"Transport, storage and services",I,Road,46,PJ,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,-
Use,End Use of Energy Products,LNG,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,"Transport, storage and services",I,Road,46,PJ,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,4
Use,End Use of Energy Products,Diesel,"Transport, storage and services",I,Road,46,PJ,128,134,141,144,147,156,159,165,175,187,194,192,196,199,202,203
Use,End Use of Energy Products,Other refined fuels and products,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,"Transport, storage and services",I,Road,46,PJ,3,3,3,4,3,3,3,3,3,3,2,3,2,1,2,2
Use,End Use of Energy Products,Biofuels,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,1,3,6,7,9,9,9,8,6,6,6,6
Use,End Use of Energy Products,Wood and wood waste,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,"Transport, storage and services",I,Road,46,PJ,1,1,1,1,1,2,1,2,2,2,1,2,2,2,3,2
Use,End Use of Energy Products,Hydro energy,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,"Transport, storage and services",I,Road,46,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LNG,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Diesel,"Transport, storage and services",I,Rail,47,PJ,21,22,23,24,24,26,26,27,29,31,34,30,30,30,30,29
Use,End Use of Energy Products,Other refined fuels and products,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LPG,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Biofuels,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,"Transport, storage and services",I,Rail,47,PJ,4,4,4,4,4,5,4,5,5,5,5,5,6,5,6,6
Use,End Use of Energy Products,Hydro energy,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,"Transport, storage and services",I,Rail,47,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,"Transport, storage and services",I,Water,48,PJ,5,6,8,7,7,8,5,4,3,3,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LNG,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Diesel,"Transport, storage and services",I,Water,48,PJ,1,1,2,2,2,2,2,2,2,2,3,3,3,2,2,3
Use,End Use of Energy Products,Other refined fuels and products,"Transport, storage and services",I,Water,48,PJ,39,41,38,39,39,43,41,34,30,36,27,31,23,24,24,24
Use,End Use of Energy Products,LPG,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Biofuels,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Hydro energy,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,"Transport, storage and services",I,Water,48,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Natural gas,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,LNG,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Crude oil and feedstocks,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Petrol,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Diesel,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
Use,End Use of Energy Products,Other refined fuels and products,"Transport, storage and services",I,Air,49,PJ,159,180,202,209,230,236,241,255,263,273,289,303,302,316,331,346
Use,End Use of Energy Products,LPG,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Biofuels,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wood and wood waste,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Bagasse,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Electricity,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1
Use,End Use of Energy Products,Hydro energy,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Solar energy ,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Wind energy,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Uranium,"Transport, storage and services",I,Air,49,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Black coal,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Brown coal,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coke,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Coal by-products,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,End Use of Energy Products,Briquettes,"Transport, storage and services",I,"Other transport, storage and services","50,51,52,53",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
