            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Bagasse,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Hydro energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Black coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Mining,B,Oil and Gas Extraction,07,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Supply,Production of Energy,LNG,Mining,B,Oil and Gas Extraction,07,PJ,426,431,576,654,780,744,838,987,"1,102","1,041","1,298","1,284","1,383","2,016","2,855","3,376"
Supply,Production of Energy,Crude oil and feedstocks,Mining,B,Oil and Gas Extraction,07,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Supply,Production of Energy,Petrol,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Mining,B,Oil and Gas Extraction,07,PJ,126,125,127,130,150,132,134,136,117,118,114,116,99,99,83,82
Supply,Production of Energy,Biofuels,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Mining,B,Oil and Gas Extraction,07,PJ,11,12,9,9,12,13,14,17,18,18,10,11,11,22,22,24
Supply,Production of Energy,Hydro energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Mining,B,Oil and Gas Extraction,07,PJ,103,106,117,130,151,151,163,159,164,164,180,191,197,237,309,346
Supply,Production of Energy,Black coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Mining,B,Other Mining,"08,09,10",PJ,7,7,9,9,10,12,11,12,12,12,25,28,31,37,36,37
Supply,Production of Energy,Hydro energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Mining,B,Other Mining,"08,09,10",PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Supply,Production of Energy,Residuals,Mining,B,Other Mining,"08,09,10",PJ,2,3,2,2,2,-,9,7,7,7,5,3,-,2,9,6
Supply,Production of Energy,Black coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
