"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Liquefied natural gas,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,2,2,2,2,2,3,3,4,4,5,4,5,5,4,4,4
Supply,Wood and Wood waste,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,23,23,23,24,26,27,21,22,23,22,19,20,20,22,22,21
Supply,Bagasse,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,25,25,24,25,27,29,24,26,27,27,23,25,25,26,27,25
Supply,Black coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,49,33,38,42,49,50,49,45,60,50,48,45,39,32,30,30
Supply,Biofuels,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,1,1,1,1,1,2,3,3,3,4,3,4,4,1,2,2
Supply,Wood and Wood waste,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,50,34,39,43,50,52,51,48,63,54,52,48,43,34,32,32
Supply,Black coal,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wood and Wood waste,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Electricity,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
