            Australian Bureau of Statistics,Input,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Use,Natural input,Natural gas,Total use,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Use,Natural input,LNG,Total use,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Natural input,Crude oil and feedstocks,Total use,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Use,Natural input,Petrol,Total use,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Natural input,Diesel,Total use,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Natural input,Other refined fuels and products,Total use,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Natural input,LPG,Total use,PJ,175,158,165,172,199,183,183,181,176,168,162,161,138,132,113,112
Use,Natural input,Biofuels,Total use,PJ,11,11,9,10,11,15,20,23,26,28,26,29,28,23,22,23
Use,Natural input,Wood and wood waste,Total use,PJ,105,103,100,99,99,99,89,88,85,83,91,93,92,96,98,94
Use,Natural input,Bagasse,Total use,PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Use,Natural input,Electricity,Total use,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Natural input,Hydro energy,Total use,PJ,59,59,56,58,52,43,43,49,61,51,66,66,48,55,59,58
Use,Natural input,Solar energy ,Total use,PJ,3,3,3,3,6,7,9,12,17,22,27,29,35,40,45,53
Use,Natural input,Wind energy,Total use,PJ,3,3,3,6,9,11,14,18,22,25,29,37,41,44,45,55
Use,Natural input,Uranium,Total use,PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Use,Transformation of Energy Products,Black Coal,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coal by-products,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LNG,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wood and wood waste,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,"Agriculture, forestry and fishing",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LNG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Wood and wood waste,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Mining,PJ,539,547,702,793,942,908,"1,015","1,162","1,283","1,223","1,486","1,484","1,589","2,275","3,186","3,746"
Use,Transformation of Energy Products,LNG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Mining,PJ,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1
Use,Transformation of Energy Products,Other refined fuels and products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Wood and wood waste,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Mining,PJ,0,0,0,0,0,0,8,6,6,5,3,3,1,3,4,4
Use,Transformation of Energy Products,Brown coal,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Mining,PJ,3,4,4,4,5,5,5,6,6,6,19,20,20,21,27,30
Use,Transformation of Energy Products,LNG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Mining,PJ,6,6,6,6,6,7,7,7,8,8,8,8,8,7,7,7
Use,Transformation of Energy Products,Other refined fuels and products,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
Use,Transformation of Energy Products,LPG,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Mining,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Wood and wood waste,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Mining,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,31,32,33,33,33,32,46,75,71,71,85,76,86,83,92,81
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,1,1,3,3,3,3,1,1,1,1,2,2,3,3,3,3
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,45,46,48,47,48,47,49,47,36,47,50,42,38,35,31,26
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,"1,566","1,465","1,480","1,343","1,440","1,399","1,414","1,370","1,570","1,499","1,495","1,402","1,223","1,054","1,024","1,081"
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,152,180,198,195,196,194,176,169,188,212,224,219,183,161,158,144
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,106,112,115,117,119,117,119,151,155,129,123,112,110,110,113,110
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,6,6,7,7,7,7,7,6,6,6,9,8,9,5,5,5
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,8,8,9,9,11,11,12,13,14,14,7,7,8,5,7,8
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Brown coal,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Coke,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Coal by-products,Manufacturing,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Transformation of Energy Products,Briquettes,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Natural gas,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LNG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Crude oil and feedstocks,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Petrol,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Diesel,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Other refined fuels and products,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,LPG,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Biofuels,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wood and wood waste,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Bagasse,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Electricity,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Hydro energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Solar energy ,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Wind energy,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Uranium,Manufacturing,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use,Transformation of Energy Products,Black coal,"Electricity, gas, water and waste services",PJ,"1,162","1,230","1,264","1,288","1,309","1,281","1,345","1,212","1,136","1,115","1,070","1,010","1,028","1,100","1,137","1,164"
Use,Transformation of Energy Products,Brown coal,"Electricity, gas, water and waste services",PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Use,Transformation of Energy Products,Coke,"Electricity, gas, water and waste services",PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
