Date,Sex,Location,Employed full-time ('000),Employed part-time ('000),Black coal,Brown coal,Crude oil,Condensate,LPG,Natural Gas,Uranium
2003,Females,VIC,0.57109684,0.24157929,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.29329495,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,0.80595165,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,1.5978021,0.28589264,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.15333766,0.13087235,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.28509826,0.17219518,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,4.77199836,0.35770667,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,1.22583135,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NT,0.31185462,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,1.20625305,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,13.52492389,0.32906831,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,2.18921699,0.2652627,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,2.09300939,0.28000971,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,3.18104366,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,14.07087444,0.29246643,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,1.82408974,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,3.83630393,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,13.85227524,0.57020161,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,10.37703189,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,0.18830664,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,1.47897086,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,1.57444867,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NSW,0,0.82864693,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.57090605,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.61165237,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,0.50455585,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,0.54615348,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.15941398,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.47725852,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,4.00789379,0.51597763,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,0.75508511,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,TAS,0.07849928,0.09494362,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NT,0.08792927,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,2.15979888,0.39703469,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,13.61249522,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,2.16113208,0.26846313,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,2.24708293,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,1.86904232,0.26917646,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,17.27143278,0.27200467,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,2.47808635,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,4.06542705,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,16.90689547,0.53653333,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,11.76702738,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,0.1756304,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,1.6768729,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,2.05833261,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,0.10200554,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NSW,0.70152914,0.38980748,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.27111257,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,VIC,0.36044822,0.33744561,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,0,0.27933073,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,QLD,1.28141807,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.4747748,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.81960539,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,5.12793025,0.30838505,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,1.1013414,0.19255647,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,TAS,0.19145019,0.09620593,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NT,0.09883606,0.09830674,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2004,Males,NSW,2.40994596,0.29635388,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,NSW,15.40941952,1.56152436,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,VIC,2.47391387,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,VIC,3.89998643,0.19575278,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,QLD,2.94931218,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,QLD,17.98680004,0.31565848,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,SA,1.64095039,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,SA,3.66957035,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,WA,18.70589045,0.7439196,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,WA,14.94818819,0.21178946,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,TAS,0.17319788,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,TAS,1.31182801,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Males,NT,1.61042999,0.12468991,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Females,NSW,1.11167752,0.3877983,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Females,VIC,0.32584528,0.28194304,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Females,QLD,0.57721402,0,"9,593",450,"33,028","23,558","8,823","31,121",32.0
2004,Females,QLD,0.26585197,0.27074621,"9,593",450,"33,028","23,558","8,823","31,121",32.0
